
Codes	Titles	Total Marketable US Businesses
311830	Tortilla Manufacturing	651
3119	Other Food Manufacturing	8,105
311911	Roasted Nuts and Peanut Butter Manufacturing	252
311919	Other Snack Food Manufacturing	597
311920	Coffee and Tea Manufacturing	958
311930	Flavoring Syrup and Concentrate Manufacturing	301
311941	Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing	565
311942	Spice and Extract Manufacturing	1,393
311991	Perishable Prepared Food Manufacturing	384
311999	All Other Miscellaneous Food Manufacturing	3,655
3121	Beverage Manufacturing	14,383
312111	Soft Drink Manufacturing	2,854
312112	Bottled Water Manufacturing	507
312113	Ice Manufacturing	550
312120	Breweries	2,332
312130	Wineries	6,906
312140	Distilleries	1,234
3122	Tobacco Manufacturing	496
312230	Tobacco Manufacturing	496
3131	Fiber, Yarn, and Thread Mills	768
313110	Fiber, Yarn, and Thread Mills	768
3132	Fabric Mills	5,274
313210	Broadwoven Fabric Mills	4,369
313220	Narrow Fabric Mills and Schiffli Machine Embroidery	461
313230	Nonwoven Fabric Mills	227
313240	Knit Fabric Mills	217
3133	Textile and Fabric Finishing and Fabric Coating Mills	1,564
313310	Textile and Fabric Finishing Mills	1,186
313320	Fabric Coating Mills	378
3141	Textile Furnishings Mills	2,750
314110	Carpet and Rug Mills	1,040
314120	Curtain and Linen Mills	1,710
3149	Other Textile Product Mills	13,744
314910	Textile Bag and Canvas Mills	2,132
314994	Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills	387
314999	All Other Miscellaneous Textile Product Mills	11,225
3151	Apparel Knitting Mills	1,446
315110	Hosiery and Sock Mills	644
315190	Other Apparel Knitting Mills	802
3152	Cut and Sew Apparel Manufacturing	8,321
315210	Cut and Sew Apparel Contractors	402
315220	Men's and Boys' Cut and Sew Apparel Manufacturing	3,070
315240	Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing	3,788
315280	Other Cut and Sew Apparel Manufacturing	1,061
3159	Apparel Accessories and Other Apparel Manufacturing	2,596
315990	Apparel Accessories and Other Apparel Manufacturing	2,596
3161	Leather and Hide Tanning and Finishing	749
316110	Leather and Hide Tanning and Finishing	749
3162	Footwear Manufacturing	709
316210	Footwear Manufacturing	709
3169	Other Leather and Allied Product Manufacturing	3,637
316992	Women's Handbag and Purse Manufacturing	336
316998	All Other Leather Good and Allied Product Manufacturing	3,301
3211	Sawmills and Wood Preservation	3,223
321113	Sawmills	2,548
