
Codes	Titles	Total Marketable US Businesses
624190	Other Individual and Family Services	150,599
6242	Community Food and Housing, and Emergency and Other Relief Services	6,980
624210	Community Food Services	1,161
624221	Temporary Shelters	1,930
624229	Other Community Housing Services	260
624230	Emergency and Other Relief Services	3,629
6243	Vocational Rehabilitation Services	13,049
624310	Vocational Rehabilitation Services	13,049
6244	Child Day Care Services	115,022
624410	Child Day Care Services	115,022
71	Arts, Entertainment, and Recreation	369,183
7111	Performing Arts Companies	33,574
711110	Theater Companies and Dinner Theaters	3,470
711120	Dance Companies	184
711130	Musical Groups and Artists	9,634
711190	Other Performing Arts Companies	20,286
7112	Spectator Sports	25,571
711211	Sports Teams and Clubs	6,397
711212	Racetracks	4,480
711219	Other Spectator Sports	14,694
7113	Promoters of Performing Arts, Sports, and Similar Events	9,942
711310	Promoters of Performing Arts, Sports, and Similar Events with Facilities	8,097
711320	Promoters of Performing Arts, Sports, and Similar Events without Facilities	1,845
7114	Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures	9,205
711410	Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures	9,205
7115	Independent Artists, Writers, and Performers	52,045
711510	Independent Artists, Writers, and Performers	52,045
7121	Museums, Historical Sites, and Similar Institutions	40,766
712110	Museums	24,566
712120	Historical Sites	3,403
712130	Zoos and Botanical Gardens	1,776
712190	Nature Parks and Other Similar Institutions	11,021
7131	Amusement Parks and Arcades	4,803
713110	Amusement and Theme Parks	2,465
713120	Amusement Arcades	2,338
7132	Gambling Industries	1,187
713210	Casinos (except Casino Hotels)	644
713290	Other Gambling Industries	543
7139	Other Amusement and Recreation Industries	192,090
713910	Golf Courses and Country Clubs	16,022
713920	Skiing Facilities	326
713930	Marinas	7,433
713940	Fitness and Recreational Sports Centers	136,375
713950	Bowling Centers	5,184
713990	All Other Amusement and Recreation Industries	26,750
72	Accommodation and Food Services	901,202
7211	Traveler Accommodation	117,143
721110	Hotels (except Casino Hotels) and Motels	92,697
721120	Casino Hotels	1,821
721191	Bed-and-Breakfast Inns	17,367
721199	All Other Traveler Accommodation	5,258
7212	RV (Recreational Vehicle) Parks and Recreational Camps	15,545
721211	RV (Recreational Vehicle) Parks and Campgrounds	10,922
721214	Recreational and Vacation Camps (except Campgrounds)	4,623
7213	Rooming and Boarding Houses, Dormitories, and Workers' Camps	2,595
721310	Rooming and Boarding Houses, Dormitories, and Workers' Camps	2,595
7223	Special Food Services	37,509
722310	Food Service Contractors	1,878
722320	Caterers	30,400
722330	Mobile Food Services	5,231
7224	Drinking Places (Alcoholic Beverages)	72,189
722410	Drinking Places (Alcoholic Beverages)	72,189
7225	Restaurants and Other Eating Places	656,221
722511	Full-Service Restaurants	364,315
722513	Limited-Service Restaurants	288,075
722514	Cafeterias, Grill Buffets, and Buffets	2,758
722515	Snack and Nonalcoholic Beverage Bars	1,073
81	Other Services (except Public Administration)	1,895,018
8111	Automotive Repair and Maintenance	309,349
811111	General Automotive Repair	152,327
811112	Automotive Exhaust System Repair	6,416
811113	Automotive Transmission Repair	7,672
811118	Other Automotive Mechanical and Electrical Repair and Maintenance	29,885
811121	Automotive Body, Paint, and Interior Repair and Maintenance	50,554
811122	Automotive Glass Replacement Shops	6,728
811191	Automotive Oil Change and Lubrication Shops	6,341
811192	Car Washes	32,659
811198	All Other Automotive Repair and Maintenance	16,767
8112	Electronic and Precision Equipment Repair and Maintenance	37,302
811211	Consumer Electronics Repair and Maintenance	5,580
811212	Computer and Office Machine Repair and Maintenance	14,170
811213	Communication Equipment Repair and Maintenance	1,227
811219	Other Electronic and Precision Equipment Repair and Maintenance	16,325
8113	Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance	44,540
811310	Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance	44,540
8114	Personal and Household Goods Repair and Maintenance	130,221
811411	Home and Garden Equipment Repair and Maintenance	9,124
811412	Appliance Repair and Maintenance	71,635
811420	Reupholstery and Furniture Repair	11,963
811430	Footwear and Leather Goods Repair	3,472
811490	Other Personal and Household Goods Repair and Maintenance	34,027
8121	Personal Care Services	389,995
812111	Barber Shops	35,845
812112	Beauty Salons	239,065
812113	Nail Salons	59,713
812191	Diet and Weight Reducing Centers	2,667
812199	Other Personal Care Services	52,705
8122	Death Care Services	35,194
812210	Funeral Homes and Funeral Services	22,649
812220	Cemeteries and Crematories	12,545
8123	Drycleaning and Laundry Services	41,126
812310	Coin-Operated Laundries and Drycleaners	13,087
812320	Drycleaning and Laundry Services (except Coin-Operated)	24,917
812331	Linen Supply	1,999
812332	Industrial Launderers	1,123
8129	Other Personal Services	151,253
812910	Pet Care (except Veterinary) Services	45,443
812921	Photofinishing Laboratories (except One-Hour)	4,503
812922	One-Hour Photofinishing	0
812930	Parking Lots and Garages	5,998
812990	All Other Personal Services	95,309
8131	Religious Organizations	357,509
813110	Religious Organizations	357,509
8132	Grantmaking and Giving Services	7,991
813211	Grantmaking Foundations	6,396
813212	Voluntary Health Organizations	1,138
813219	Other Grantmaking and Giving Services	457
8133	Social Advocacy Organizations	53,418
813311	Human Rights Organizations	0
813312	Environment, Conservation and Wildlife Organizations	3,919
813319	Other Social Advocacy Organizations	49,499
8134	Civic and Social Organizations	183,674
813410	Civic and Social Organizations	183,674
8139	Business, Professional, Labor, Political, and Similar Organizations	153,446
813910	Business Associations	33,665
813920	Professional Organizations	29,825
813930	Labor Unions and Similar Labor Organizations	16,249
813940	Political Organizations	3,271
813990	Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)	70,436
8141	Private Households	0
814110	Private Households	0
92	Public Administration	265,129
9211	Executive, Legislative, and Other General Government Support	79,363
921110	Executive Offices	43,644
921120	Legislative Bodies	9,847
921130	Public Finance Activities	7,572
921140	Executive and Legislative Offices, Combined	355
921150	American Indian and Alaska Native Tribal Governments	1,120
921190	Other General Government Support	16,825
9221	Justice, Public Order, and Safety Activities	88,806
922110	Courts	16,691
922120	Police Protection	20,590
922130	Legal Counsel and Prosecution	4,290
922140	Correctional Institutions	5,462
922150	Parole Offices and Probation Offices	2,063
922160	Fire Protection	36,391
922190	Other Justice, Public Order, and Safety Activities	3,319
9231	Administration of Human Resource Programs	22,104
923110	Administration of Education Programs	2,009
923120	Administration of Public Health Programs	8,521
923130	Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)	9,734
923140	Administration of Veterans' Affairs	1,840
9241	Administration of Environmental Quality Programs	22,219
924110	Administration of Air and Water Resource and Solid Waste Management Programs	6,687
924120	Administration of Conservation Programs	15,532
9251	Administration of Housing Programs, Urban Planning, and Community Development	8,903
925110	Administration of Housing Programs	6,330
925120	Administration of Urban Planning and Community and Rural Development	2,573
9261	Administration of Economic Programs	25,898
926110	Administration of General Economic Programs	2,693
926120	Regulation and Administration of Transportation Programs	11,298
926130	Regulation and Administration of Communications, Electric, Gas, and Other Utilities	1,603
926140	Regulation of Agricultural Marketing and Commodities	6,456
926150	Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors	3,848
9271	Space Research and Technology	139
927110	Space Research and Technology	139
9281	National Security and International Affairs	17,697
928110	National Security	15,502
928120	International Affairs	2,195
